year,rho,n_test,clf_accuracy,clf_log_loss,clf_brier,clf_rps,poisson_exact_score_acc,poisson_outcome_acc,poisson_goals_mae
2018,-0.06,929,0.5242195909580194,0.9521124558496866,0.5693969050467548,0.19109421185136719,0.11517761033369214,0.5511302475780409,0.9744866430098444
2019,-0.06,1149,0.6144473455178416,0.8501769896132609,0.49428622123040145,0.16733331302140234,0.1279373368146214,0.6205395996518712,0.991929959710592
2020,-0.06,347,0.5446685878962536,0.9803229392451998,0.5830178591081863,0.18889527544287527,0.12968299711815562,0.5389048991354467,0.877875594640506
2021,-0.06,1115,0.6394618834080718,0.8173837300106654,0.47744463825082484,0.1537907985399011,0.14349775784753363,0.6385650224215247,0.9487435025753386
2022,-0.06,970,0.5855670103092784,0.9181242788280471,0.5386167211156541,0.18196480100725126,0.13505154639175257,0.5865979381443299,0.8885852915938324
2023,-0.04,1054,0.6129032258064516,0.8712985181623586,0.5102882679612083,0.17375082939669034,0.14041745730550284,0.5977229601518027,0.956174822481884
2024,-0.04,1231,0.5889520714865962,0.9034767511864586,0.5320965516723171,0.17372582956760202,0.12835093419983754,0.5881397238017871,0.9267578705623648
2025,-0.04,1002,0.6397205588822356,0.8199655853975734,0.48020382952199603,0.15824232018959342,0.11676646706586827,0.6207584830339321,0.9872859422768099
weighted_mean,-0.05156855200718225,7797,0.5995895857381044,0.8792657864967555,0.5166140448820492,0.17171610011684174,0.12992176478132617,0.5988200589970503,0.9500234577838824
