team,group,p_r32,p_r16,p_qf,p_sf,p_final,p_champion,p_top_group,expected_points,simulations
Argentina,J,0.9882,0.7472,0.5528,0.3946,0.2804,0.186,0.7852,7.1972,5000
Spain,H,0.9872,0.7268,0.516,0.3448,0.2276,0.1394,0.7638,7.2416,5000
France,I,0.9776,0.6966,0.4686,0.2994,0.1792,0.1034,0.6902,6.6956,5000
Brazil,C,0.967,0.6554,0.4138,0.2488,0.1404,0.076,0.545,6.4398,5000
England,L,0.9766,0.6328,0.3926,0.2318,0.133,0.0714,0.62,6.6582,5000
Portugal,K,0.9462,0.6246,0.3962,0.2388,0.1292,0.0686,0.5046,6.138,5000
Germany,E,0.9622,0.6074,0.352,0.2038,0.1088,0.0526,0.6064,6.5272,5000
Belgium,G,0.9404,0.5826,0.3382,0.1812,0.093,0.0448,0.5618,6.1778,5000
Colombia,K,0.9256,0.5578,0.3048,0.1558,0.076,0.0384,0.4152,5.7312,5000
Morocco,C,0.9464,0.5664,0.3198,0.1622,0.075,0.0334,0.3848,5.8604,5000
Croatia,L,0.9218,0.5418,0.2948,0.1454,0.064,0.0248,0.3178,5.4826,5000
Mexico,A,0.9348,0.5308,0.2788,0.1396,0.0616,0.0234,0.5828,6.101,5000
Netherlands,F,0.9188,0.4988,0.24,0.1118,0.042,0.0162,0.4972,5.8082,5000
Japan,F,0.8864,0.4668,0.2244,0.0954,0.0392,0.0144,0.3446,5.2848,5000
Uruguay,H,0.8768,0.4576,0.214,0.0928,0.0364,0.013,0.192,5.0764,5000
United States,D,0.8152,0.423,0.204,0.089,0.0346,0.0108,0.365,5.0022,5000
Norway,I,0.7928,0.3702,0.1566,0.0646,0.024,0.0096,0.1592,4.357,5000
Switzerland,B,0.938,0.4424,0.1894,0.073,0.0264,0.0084,0.5532,6.1494,5000
Türkiye,D,0.7822,0.4122,0.1856,0.0784,0.0258,0.0082,0.3304,4.6962,5000
Ecuador,E,0.8742,0.415,0.1806,0.0772,0.0276,0.0078,0.2556,5.0406,5000
Austria,J,0.7978,0.367,0.16,0.0626,0.0214,0.007,0.1272,4.3998,5000
Iran,G,0.8266,0.367,0.1468,0.0556,0.0172,0.005,0.2512,4.7416,5000
Senegal,I,0.7094,0.3122,0.1314,0.0478,0.0162,0.005,0.1328,3.9432,5000
South Korea,A,0.7774,0.3426,0.1448,0.0516,0.0172,0.0044,0.2318,4.4826,5000
Australia,D,0.612,0.2784,0.109,0.0398,0.0126,0.004,0.1636,3.6172,5000
Sweden,F,0.6188,0.249,0.0882,0.0276,0.0104,0.004,0.1238,3.5426,5000
Egypt,G,0.7342,0.2968,0.1084,0.0352,0.0108,0.0036,0.1682,4.1016,5000
Algeria,J,0.6754,0.29,0.1158,0.0392,0.0136,0.0032,0.0744,3.6736,5000
Scotland,C,0.6254,0.2634,0.0972,0.0338,0.0112,0.0032,0.0648,3.3522,5000
Ivory Coast,E,0.7582,0.2912,0.1094,0.03,0.0096,0.0024,0.1302,4.0572,5000
Canada,B,0.8818,0.3554,0.1252,0.0384,0.0092,0.0018,0.3294,5.2752,5000
Paraguay,D,0.535,0.2138,0.08,0.0256,0.0082,0.0018,0.141,3.2336,5000
Panama,L,0.4832,0.159,0.0508,0.0128,0.0028,0.001,0.0466,2.8442,5000
Czechia,A,0.612,0.2286,0.0768,0.0216,0.0056,0.0006,0.1318,3.5526,5000
Saudi Arabia,H,0.4102,0.1232,0.0274,0.008,0.0022,0.0006,0.0268,2.5984,5000
Congo DR,K,0.4008,0.1182,0.0328,0.0088,0.002,0.0006,0.0436,2.5154,5000
Bosnia and Herzegovina,B,0.49,0.1372,0.0308,0.0058,0.0014,0.0004,0.0768,2.9072,5000
Tunisia,F,0.282,0.0796,0.02,0.0034,0.0012,0.0004,0.0344,1.9766,5000
Uzbekistan,K,0.3578,0.1058,0.0242,0.0054,0.0008,0.0004,0.0366,2.314,5000
Qatar,B,0.3548,0.0748,0.0146,0.0022,0.0006,0.0,0.0406,2.3306,5000
Iraq,I,0.2126,0.0584,0.0148,0.005,0.0004,0.0,0.0178,1.6428,5000
South Africa,A,0.3694,0.0968,0.024,0.0038,0.0004,0.0,0.0536,2.4032,5000
Cape Verde,H,0.2866,0.0656,0.0106,0.0022,0.0004,0.0,0.0174,1.9666,5000
Haiti,C,0.1152,0.023,0.0046,0.0014,0.0002,0.0,0.0054,1.1698,5000
Jordan,J,0.1732,0.0396,0.0078,0.001,0.0002,0.0,0.0132,1.4974,5000
Ghana,L,0.221,0.048,0.0104,0.0016,0.0,0.0,0.0156,1.7298,5000
New Zealand,G,0.2026,0.0384,0.0082,0.001,0.0,0.0,0.0188,1.5992,5000
Curaçao,E,0.1182,0.0208,0.003,0.0004,0.0,0.0,0.0078,1.218,5000
